LearningRate,DiscountFactor,ExplorationRate,DecayFactor,DecayThreshold,AverageReward
0.8,0.5,1.0,0.9,500,7.92
0.8,0.5,1.0,0.9,1000,8.3
0.8,0.5,1.0,0.9,2000,7.98
0.8,0.5,1.0,0.9,3000,7.65
0.8,0.5,1.0,0.95,500,7.89
0.8,0.5,1.0,0.95,1000,7.61
0.8,0.5,1.0,0.95,2000,7.7
0.8,0.5,1.0,0.95,3000,7.77
0.8,0.5,1.0,0.999,500,7.87
0.8,0.5,1.0,0.999,1000,8.46
0.8,0.5,1.0,0.999,2000,7.75
0.8,0.5,1.0,0.999,3000,8.02
0.8,0.5,0.75,0.5,500,7.89
0.8,0.5,0.75,0.5,1000,7.79
0.8,0.5,0.75,0.5,2000,8.34
0.8,0.5,0.75,0.5,3000,7.61
0.8,0.5,0.75,0.9,500,7.59
